prompt_id,label,solved_models,difficulty,num_qubits,num_clbits,gate_count,gate_type_count,families,gpt-5.5,gpt-5.4-mini,claude-sonnet-4-6,claude-opus-4-8,gemini-2.5-pro,gemini-3.1-pro-preview,deepseek-v4-pro,deepseek-v4-flash,mistral-ai/codestral-2501,llama-3.3-70b-versatile,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen3-32b,meta-llama/llama-4-scout-17b-16e-instruct,llama-3.1-8b-instant,instruction
pqid_bench_external_gen_0033,strict_n8,0,1.000000,3,3,5,4,qkd_e91;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create Qiskit measurement subcircuits for the E91 QKD setup on a shared 2-qubit register and classical register: Alice’s three choices should be H then measure on qubit 0, S-H-T-H then measure on qubit 0, and direct Z-basis measurement on qubit 0; Bob’s three choices should be S-H-T-H then measure on qubit 1, direct Z-basis measurement on qubit 1, and S-H then measure on qubit 1, with circuit names measureA1, measureA2, measureA3, measureB1, measureB2, and measureB3."
pqid_bench_external_gen_0004,strict_n8,0,1.000000,2,2,4,4,bell_or_superdense;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 2-qubit Qiskit circuit that prepares a Bell state by applying a Hadamard to qubit 0, then a CNOT from qubit 0 to qubit 1, and finally measures both qubits."
pqid_bench_external_gen_0028,strict_n8,0,1.000000,2,2,4,4,bell_or_superdense;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 2-qubit Qiskit circuit that prepares a Bell pair by applying H to qubit 0, then CX from qubit 0 to qubit 1, and finally measures both qubits."
pqid_bench_external_gen_0062,extended_n8,0,1.000000,3,3,4,4,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a small Qiskit circuit that puts q[0] into superposition, entangles it with q[1], measures q[0] into a classical register, and then applies an rz(0.5) to q[1] only when the full classical register equals 2."
pqid_bench_external_gen_0063,extended_n8,0,1.000000,2,2,4,4,bell_or_superdense;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a small Qiskit circuit that prepares a Bell state on 2 qubits with an H on qubit 0, a CX from 0 to 1, and measurements on both qubits."
pqid_bench_external_gen_0064,extended_n8,0,1.000000,2,2,4,4,bell_or_superdense;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a small Qiskit circuit that prepares a Bell pair on 2 qubits and measures both qubits, suitable for running on a local fake backend."
pqid_bench_external_gen_0024,strict_n8,0,1.000000,1,1,2,3,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Create a 1-qubit Qiskit circuit that applies a Pauli-Y gate to qubit 0 and then measures the qubit.
pqid_bench_external_gen_0027,strict_n8,0,1.000000,3,3,2,2,bell_or_superdense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a minimal Qiskit circuit that prepares a Bell pair for the start of a superdense-coding example by applying a Hadamard to qubit 0 and then a CNOT from qubit 0 to qubit 1, using a quantum register and classical register in the circuit definition."
pqid_bench_external_gen_0070,strict_n8,1,0.933333,4,4,8,4,pauli_measurement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Create a 4-qubit Qiskit circuit where qubit 0 gets a Hadamard, then qubits 1, 2, and 3 each act as the control of a controlled-H targeting qubit 0, and finally all qubits are measured."
pqid_bench_external_gen_0032,strict_n8,1,0.933333,3,3,3,2,generic_or_low_level,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Create a 3-qubit Qiskit circuit where qubit 1 is flipped, used as the control of a CNOT onto qubit 0, and then flipped back to restore the control qubit’s original state."
pqid_bench_external_gen_0007,strict_n8,2,0.866667,3,3,6,5,pauli_measurement,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Create a 3-qubit Qiskit circuit that applies H to qubit 0, Y to qubit 1, and X to qubit 2, then measures all qubits."
pqid_bench_external_gen_0010,strict_n8,2,0.866667,3,3,6,5,pauli_measurement,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Create a 3-qubit Qiskit circuit that applies H to qubit 0, then a CNOT from qubit 0 to qubit 1, performs an RZ rotation by 3.14 on qubit 2, and finally measures all qubits."
pqid_bench_external_gen_0066,extended_n8,2,0.866667,10,10,20,4,ghz;pauli_measurement,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Create a Qiskit circuit on 10 qubits that prepares a linear GHZ-style entangled chain by applying H to qubit 0, then CNOTs from each qubit to the next up to qubit 9, and finally measures every qubit."
pqid_bench_external_gen_0011,strict_n8,2,0.866667,4,3,3,3,error_correction,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Create a Qiskit circuit for the encoding step of the three-qubit bit-flip code: put q[0] into superposition with an H gate, copy it to q[1] and q[2] with two CNOTs, and then place a barrier across the data qubits and the single ancilla register."
pqid_bench_external_gen_0023,strict_n8,2,0.866667,2,2,3,3,pauli_measurement,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Create a 2-qubit Qiskit circuit that applies a controlled-NOT from qubit 0 to qubit 1, then measures both qubits."
pqid_bench_external_gen_0020,strict_n8,3,0.800000,4,3,5,3,bernstein_vazirani,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"Create the Qiskit setup for the opening stage of a Bernstein–Vazirani circuit with n data qubits plus one ancilla: allocate `QuantumCircuit(n+1, n)`, flip the ancilla to |1>, add a barrier, apply Hadamards to all qubits, and add another barrier."
pqid_bench_external_gen_0021,strict_n8,7,0.533333,4,0,4,4,pauli_measurement,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Create a 4-qubit Qiskit circuit that represents a Pauli-operator example by applying identity to qubit 0, Z to qubit 1, X to qubit 2, and Y to qubit 3."
pqid_bench_external_gen_0026,strict_n8,7,0.533333,3,3,3,3,ghz,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,"Create a 3-qubit, 3-classical-bit Qiskit circuit that prepares a GHZ state by applying H on qubit 0, then CNOTs from qubit 0 to qubits 1 and 2, and place a barrier after the entangling steps."
pqid_bench_external_gen_0017,strict_n8,9,0.400000,2,2,2,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Create a 2-qubit, 2-classical-bit quantum circuit where qubit 1 is flipped with an X gate and qubit 0 is placed into superposition with an H gate, in that order."
pqid_bench_external_gen_0018,strict_n8,9,0.400000,2,2,2,2,generic_or_low_level,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,"Create a 2-qubit, 2-classical-bit quantum circuit where qubit 0 is first flipped with an X gate and then put through a Hadamard gate, leaving qubit 1 untouched."
pqid_bench_external_gen_0053,extended_n8,9,0.400000,3,0,2,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Create a small Qiskit circuit on 3 qubits where qubit 0 is put into superposition and then entangled with qubit 1 using a CNOT, leaving qubit 2 untouched."
pqid_bench_external_gen_0034,strict_n8,10,0.333333,4,0,18,4,vqc_ansatz,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,"Create a 4-qubit Qiskit variational circuit named ""VQC Circuit"" with eight input Parameters and eight weight Parameters: apply RY then RZ feature-encoding rotations on qubits 0 through 3 using input0..input7 in order, add CX gates 0->2 and 1->3 followed by a barrier, then apply the ansatz rotations RY(weight0) on q0, RZ(weight1) on q1, RY(weight2) on q2, RZ(weight3) on q3, RZ(weight4) on q0, RY(weight5) on q1, RZ(weight6) on q2, and RY(weight7) on q3."
pqid_bench_external_gen_0016,strict_n8,10,0.333333,2,2,4,3,generic_or_low_level,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,"Create a 2-qubit, 2-classical-bit Qiskit circuit that applies X to qubit 1, then H to qubit 0, and finally Z to both qubits."
pqid_bench_external_gen_0061,extended_n8,11,0.266667,3,2,11,4,bernstein_vazirani;oracle_logic;pauli_measurement,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,"Create a Qiskit circuit for a 3-qubit Bernstein–Vazirani setup where the last qubit is the oracle target: initialize that qubit in |1>, apply Hadamards to all qubits, use CNOTs from the first two qubits into the last, apply another Hadamard layer, and measure only the first two qubits."
pqid_bench_external_gen_0065,extended_n8,11,0.266667,2,0,6,4,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Create a 2-qubit Qiskit circuit with an H on qubit 0, a CNOT from 0 to 1, parameterized RY(a) and RZ(b) on qubit 0, then another CNOT(0,1) and a final H on qubit 0."
pqid_bench_external_gen_0045,extended_n8,11,0.266667,2,2,6,3,oracle_logic;pauli_measurement,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,"Create a small Qiskit circuit on 2 qubits and 2 classical bits that applies X on qubit 0, then an oracle-like sequence X(0)-CX(0,1)-X(0), and finally measures both qubits into matching classical bits."
pqid_bench_external_gen_0035,extended_n8,11,0.266667,3,3,5,2,pauli_measurement,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,Create a small 3-qubit circuit where qubit 0 gets two consecutive Hadamard gates and then all three qubits are measured into matching classical bits.
pqid_bench_external_gen_0041,extended_n8,11,0.266667,3,0,3,2,ghz,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,Create a compact Qiskit circuit on 3 qubits that prepares a GHZ state by applying a Hadamard to qubit 0 and then CNOTs from qubit 0 to qubits 1 and 2.
pqid_bench_external_gen_0051,extended_n8,11,0.266667,6,3,3,2,simon;oracle_logic,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,"Create a small Qiskit Simon-algorithm setup for n=3 that initializes a 6-qubit circuit with 3 classical bits, applies Hadamards to the first register, and inserts a barrier before the oracle stage."
pqid_bench_external_gen_0044,extended_n8,12,0.200000,2,2,6,3,oracle_logic;pauli_measurement,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,"Create a 2-qubit Qiskit circuit that flips qubit 1, applies an X-CX-X pattern with qubit 0 controlling qubit 1, and then measures both qubits into two classical bits."
pqid_bench_external_gen_0015,strict_n8,12,0.200000,3,3,5,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,"Create a Qiskit circuit on three qubits and three classical bits that prepares a Bell pair between qubits 0 and 1 with a Hadamard followed by a CNOT, then measures all three qubits into the matching classical bits."
pqid_bench_external_gen_0042,extended_n8,12,0.200000,3,3,4,3,pauli_measurement,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,"Create a 3-qubit Qiskit circuit with barriers before and after a single CNOT from qubit 0 to qubit 2, then measure all three qubits into three classical bits in reversed order."
pqid_bench_external_gen_0030,strict_n8,12,0.200000,3,3,3,1,grover_setup,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Create a 3-qubit Qiskit circuit with a 3-bit classical register that initializes the search space for Grover’s algorithm by applying a Hadamard gate to every qubit and nothing else.
pqid_bench_external_gen_0056,extended_n8,13,0.133333,2,2,5,4,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Create a 2-qubit quantum circuit that makes a Bell pair with an H on qubit 0 and a CNOT from qubit 0 to qubit 1, then applies a T gate to qubit 0 and measures both qubits into two classical bits."
pqid_bench_external_gen_0047,extended_n8,13,0.133333,2,2,7,3,oracle_logic;pauli_measurement,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,"Create a small 2-qubit Qiskit circuit that applies X to both qubits, then performs an X–CX–X pattern around qubit 0 with qubit 1 as the target, and finally measures both qubits into two classical bits."
pqid_bench_external_gen_0014,strict_n8,13,0.133333,2,2,5,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,"Create a 2-qubit Qiskit circuit with 2 classical bits that prepares a Bell pair, then applies a Hadamard to qubit 1 so it is measured in the X basis, and finally measures both qubits into matching classical bits."
pqid_bench_external_gen_0048,extended_n8,13,0.133333,5,3,5,3,generic_or_low_level,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,"Create a 5-qubit, 3-classical-bit quantum circuit that applies Hadamard gates to qubits 2, 3, and 4, inserts a full barrier, then applies an X gate followed by a Hadamard on qubit 0."
pqid_bench_external_gen_0049,extended_n8,13,0.133333,4,3,5,3,generic_or_low_level,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Create a 4-qubit Qiskit circuit with 3 classical bits where qubits 1, 2, and 3 each get a Hadamard, then a barrier is inserted, and qubit 0 receives an X followed by a Hadamard."
pqid_bench_external_gen_0054,extended_n8,13,0.133333,2,2,4,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"Create a small Qiskit circuit that prepares a Bell pair on two qubits with an H on qubit 0, a CNOT from qubit 0 to 1, and measurements into two classical bits."
pqid_bench_external_gen_0067,extended_n8,13,0.133333,7,0,6,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"Create a Qiskit circuit on 7 qubits that applies H to qubit 3, then CNOTs in this order: 0→6, 6→0, 0→1, 3→1, and 3→0."
pqid_bench_external_gen_0025,strict_n8,13,0.133333,8,0,4,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"Create an 8-qubit Qiskit circuit where qubit 0 gets an X gate and qubits 1, 2, and 3 each get an H gate, with no other operations."
pqid_bench_external_gen_0001,strict_n8,13,0.133333,2,0,3,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"Create a 2-qubit Qiskit circuit that applies a Hadamard to both qubits, then performs an RZ rotation of 3.14/4 on qubit 1."
pqid_bench_external_gen_0037,extended_n8,13,0.133333,2,2,3,2,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,"Create a small 2-qubit Qiskit circuit that applies a CNOT with qubit 0 as control and qubit 1 as target, then measures both qubits into two classical bits in reversed order."
pqid_bench_external_gen_0031,strict_n8,14,0.066667,5,5,12,4,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a 5-qubit, 5-classical-bit Qiskit circuit that applies H on qubit 0, then CNOTs 0→1 and 1→2, inserts a barrier, follows with CNOTs 0→3, 1→3, 1→4, and 2→4, and finally measures all qubits into matching classical bits."
pqid_bench_external_gen_0068,extended_n8,14,0.066667,2,2,7,4,pauli_measurement,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Create a small Qiskit circuit on 2 qubits and 2 classical bits that applies H on qubit 0, applies H twice then X on qubit 1, follows with a CX from qubit 0 to qubit 1, and measures both qubits into matching classical bits."
pqid_bench_external_gen_0012,strict_n8,14,0.066667,3,3,6,4,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a 3-qubit, 3-classical-bit quantum circuit that applies X to qubit 0, Y to qubit 1, and Z to qubit 2, then measures each qubit into the matching classical bit."
pqid_bench_external_gen_0005,strict_n8,14,0.066667,2,2,5,3,fourier_qft_phase;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"Create a 2-qubit Qiskit circuit named `basic_fourier` with 2 classical bits that applies H on qubit 0, a controlled-phase rotation of `3.14 / 2` from qubit 0 to qubit 1, then H on qubit 1, and finally measures both qubits into the matching classical bits."
pqid_bench_external_gen_0039,extended_n8,14,0.066667,3,3,5,3,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a small Qiskit circuit on 3 qubits and 3 classical bits where qubit 0 is put into superposition, then entangled with qubit 1 using a CNOT, and finally all three qubits are measured."
pqid_bench_external_gen_0043,extended_n8,14,0.066667,2,2,5,3,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a compact 2-qubit Qiskit circuit that applies X on qubit 0, then a CNOT from qubit 0 to qubit 1, then X on qubit 0 again, and finally measures both qubits into two classical bits."
pqid_bench_external_gen_0019,strict_n8,14,0.066667,2,2,4,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"Create a 2-qubit Bell-state circuit in Qiskit: apply a Hadamard to qubit 0, then a CNOT from qubit 0 to qubit 1, and measure both qubits into two classical bits."
pqid_bench_external_gen_0058,extended_n8,14,0.066667,2,2,4,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a small 2-qubit circuit that prepares a Bell pair with a Hadamard on qubit 0, a CNOT from qubit 0 to qubit 1, and measurements of both qubits into two classical bits."
pqid_bench_external_gen_0009,strict_n8,14,0.066667,4,0,4,2,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"Create a 4-qubit quantum circuit that applies Pauli-X to qubits 0, 1, and 3, and a Hadamard to qubit 2."
pqid_bench_external_gen_0057,extended_n8,14,0.066667,3,3,4,2,arithmetic_toffoli;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"Create a small Qiskit circuit with three qubits and three classical bits that applies a Toffoli gate using the first two qubits as controls and the third as the target, then measures all three qubits."
pqid_bench_external_gen_0059,extended_n8,14,0.066667,1,1,2,2,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Create a minimal 1-qubit quantum circuit that applies a Z gate to qubit 0 and then measures it into a 1-bit classical register.
pqid_bench_external_gen_0008,strict_n8,15,0.000000,3,3,6,4,ghz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a 3-qubit, 3-classical-bit Qiskit circuit that prepares a GHZ state by applying a Hadamard to qubit 0, entangling it with qubits 1 and 2 via CNOTs, then adding a barrier and measuring all qubits into matching classical bits."
pqid_bench_external_gen_0029,strict_n8,15,0.000000,4,4,11,3,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a 4-qubit, 4-classical-bit Qiskit circuit that puts every qubit into superposition with Hadamards, then applies a nearest-neighbor CNOT chain 0→1, 1→2, and 2→3, and finally measures each qubit into the matching classical bit."
pqid_bench_external_gen_0055,extended_n8,15,0.000000,2,2,4,3,bell_or_superdense;pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a small Qiskit circuit that prepares a Bell pair on two qubits with a Hadamard on qubit 0, a CNOT from qubit 0 to qubit 1, and measurements of both qubits into two classical bits."
pqid_bench_external_gen_0006,strict_n8,15,0.000000,14,7,9,2,generic_or_low_level,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a Qiskit circuit with 14 qubits and 7 classical bits that prepares qubits 0 through 6 in uniform superposition with Hadamards, and initializes qubit 13 as an ancilla in the |-⟩ state by applying X then H."
pqid_bench_external_gen_0003,strict_n8,15,0.000000,3,3,5,2,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a 3-qubit, 3-classical-bit Qiskit circuit where qubit 0 gets two consecutive Hadamard gates and then all three qubits are measured into the matching classical bits."
pqid_bench_external_gen_0013,strict_n8,15,0.000000,2,2,5,2,pauli_measurement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Create a 2-qubit, 2-classical-bit Qiskit circuit that applies a Hadamard to qubit 0, applies two consecutive Hadamards to qubit 1, and then measures both qubits into matching classical bits."
